English,Japanese,Chapter
pusillanimous,cowardly craven,p
putrefaction,becoming rotten,p
pyre,large pile of wood for burning,p
quack,person dishonestly claiming to smth,q
quaff,drink deeply,q
quail,lose courage turn frightened,q
qualm,feeling of doubt temporary feeling of sickness,q
quandary,state of doubt or perplexity,q
quell,suppress subdue,q
quibble,try to avoid by sophistication,q
quiescence,state of being passive/motionless,q
quiescent,at rest dormant torpid,q
quirk,habit or action peculiar to smb or smth,q
quixotic,generous unselfish,q
quotidian,banal everyday,q
rabble,mob crowd the lower classes of populace,r
raconteur,person who tells anecdotes,r
raffish,low vulgar base tawdry,r
ramify,to be divided or subdivided to branch out,r
rancorous,feeling bitterness spitefulness,r
rant,use extravagant language,r
rapacious,greedy (esp for money),r
rarefy,to make thin to make less dense to purify or refine,r
rave,act with excessive enthusiasm,r
reactionary,opposing progress,r
rebuff,snub,r
recalcitrant,disobedient,r
recant,take back as being FALSE give up,r
recast,cast or fashion anew,r
recidivism,relapse into antisocial or criminal behavior,r
reciprocity,granting of privileges in return for similar,r
recitals,a number of performance of music,r
recluse,person who lives alone and avoids people,r
recompense,make payment to reward punish,r
reconcile,settle a quarrel restore peace,r
recondite,little known abstruse,r
recreancy,cowardice a cowardly giving up,r
recuperate,become strong after illness loss exhaustion,r
redeem,get back by payment compensate,r
redoubtable,formidable causing fear,r
refine,make or become pure cultural,r
refractory,stubborn unmanageable untractable,r
refulgent,shining brilliant,r
regale,to delight or entertain to feast,r
regicide,crime of killing a king,r
reiterate,say or do again several times,r
rejuvenation,becoming young in nature or appearance,r
relapse,fall back again,r
remonstrate,to protest object,r
render,deliver provide represent,r
renovate,restore smth to better condition,r
renowned,celebrated famous,r
repast,meal,r
repel,refuse to accept/cause dislike,r
repine,at be discontented with,r
reproach,scold upbraid,r
reprobate,person hardened in sin one devoid of decency,r
repudiate,disown refuse to accept or pay,r
repulsive,causing a feeling of disgust,r
requite,repay give in return,r
rescind,repeal/annul/cancel,r
resigned,unresisting submissive,r
resilience,quality of quickly recovering the original shape,r
resort,to frequently visit,r
restive,refusing to move reluctant to be controlled,r
resuscitation,coming back to consciousness,r
retard,check hinder,r
reticent,reserved untalkative silent taciturn,r
revere,have deep respect for,r
reverent,feeling or showing deep respect,r
riddle,puzzling person or thing,r
rift,split crack dissension,r
rivet,fix take up secure metal pin,r
roll,call calling of names,r
rotund,rich and deep plump and round,r
ruffian,violent cruel man,r
rumple,make rough,r
sagacious,having sound judgment perceptive wise like a sage,s
salacious,obscene,s
salubrious,healthful,s
salutary,remedial wholesome causing improvement,s
sanctimony,self-righteousness hypocritical with FALSE piety,s
sanction,approval (by authority) penalty,s
sanguine,cheerful confident optimistic,s
sanity,health of mind soundness of judgement,s
sash,long strip worn round the waist,s
satiate,satisfy fully,s
saturnine,gloomy dark sullen morose,s
savant,person of great learning,s
savor,taste flavor smth,s
sawdust,tiny bits of wood,s
scabbard,sheath for the blade,s
scent,smell (esp pleasant),s
scorch,become discolored/dry up/go at high speed,s
scribble,write hastily,s
scurvy,mean contemptible,s
secular,material (not spiritual) living outside monasteries,s
sedulous,persevering,s
seminal,like a seed constituting a source originative,s
sententious,short and pithy full of maxims/proverbs,s
sequence,succession connected line of,s
sere,make hard and without feeling,s
sermon,reproving a person for his faults,s
serrated,having a toothed edge,s
serration,having a toothed edge,s
servile,like a slave lacking independence,s
sever,break off,s
severance,severing,s
shallow,little depth not earnest,s
shard,piece of broken earthenware,s
sheath,cover for the blade of a weapon or a tool,s
shrewd,astute showing sound judgement,s
shrill,sharp piercing,s
shun,keep away from avoid,s
shunt,send from one track to another lay aside evade discussion,s
sidestep,step to one side,s
simper,(give a) silly/self-conscious smile,s
sinuous,winding undulating serpentine,s
skiff,small boat,s
skit,short piece of humorous writing,s
slack,sluggish dull not tight,s
slake,to assuage to satisfy allay,s
slate,king of blue-grey stone propose criticize,s
sluggard,lazy slow-moving person,s
slur,join sounds/words (indistinct),s
smolder,burn slowly without flame,s
snare,trap,s
snub,treat with contempt,s
soar,rise fly high,s
sober,self-controlled,s
sobriety,quality or condition of being sober,s
sodden,soaked saturated,s
soggy,heavy with water,s
solvent,of the power of forming a solution,s
somatic,of the body,s
soot,black powder in smoke,s
sophisticated,complex subtle refined,s
sophistry,fallacious reasoning faulty logic,s
sophomoric,self-assured though immature affected bombastic overblown,s
soporific,producing sleep,s
sordid,wretched comfortless contemptible,s
spear,weapon with a metal point on a long shaft,s
specious,illogical of questionable truth or merit,s
splenetic,bad-tempered irritable,s
splice,join (two ends),s
sponge,porous rubber for washing live at once expense,s
spurious,FALSE counterfeit,s
spurn,have nothing to do reject or refuse,s
squalid,foul filthy,s
squander,spend wastefully,s
squat,crouch/settle without permission,s
stanch,to stop the flow of a fluid,s
steeply,rising or falling sharply,s
stentorian,extremely loud and powerful,s
stickler,person who insists on importance of smth,s
stigma,mark of shame or disgrace,s
stigmatize,describe smb scornfully,s
sting,smth sharp,s
stingy,spending using unwillingly,s
stint,to be thrifty to set limits,s
stipple,paint with dots,s
stipulate,state or put forward as a necessary condition,s
stolid,showing no emotion impassive,s
stray,wander lose one’s way,s
streak,long thin move very fast,s
striated,striped grooved or banded,s
stride,walk with long steps,s
strut,a supporting bar,s
stygian,hence dark gloomy,s
stymie,to hinder obstruct or block,s
subdue,overcome bring under control,s
sublime,extreme astounding,s
submerge,put under water liquid sink out of sight,s
suborn,induce by bribery or smth to commit perjury,s
subpoena,written order requiring a person to appear in a low court,s
substantiation,giving facts to support (statement),s
subsume,include under a rule,s
succor,assistance relief in time of distress,s
suffice,be enough,s
suffocate,cause or have difficulty in breathing,s
sullied,to be stained or discredited,s
summarily,briefly without delay,s
sumptuous,magnificent,s
sundry,various miscellaneous separate,s
supercilious,disdainful characterized by haughty scorn,s
superfluous,more then is needed or wanted,s
superimpose,put smth on the top,s
supersede,take the place of,s
supine,lying on the back slow to act passive,s
suppliant,asking humbly beseeching,s
supplicate,make a humble petition to,s
suppress,prevent from being known put an end to,s
surcharge,additional load/charge,s
surfeit,satiate feed to fulness or to excess,s
susceptibility,sensitiveness,s
swerve,change direction suddenly,s
sycophant,person who flatter to the rich and powerful,s
synopsis,summary or outline,s
taciturn,untalkative silent,t
tadpole,form of a frog when it leaves the egg,t
talon,claw of a bird of prey,t
tamp,tap or drive down by repeated light blows,t
tamper,interfere with,t
tangential,suddenly changeable,t
tarnished,lost brightness,t
tassel,bunch of threads,t
taunt,contemptuous reproach hurtful remark,t
taut,tightly stretched,t
tautology,a repetition a redundancy,t
tawdry,cheap gaudy showy tacky,t
teetotal,oppose to alcohol,t
temerity,boldness brashness intrepidness,t
temperance,abstinence from alcohol self-control moderation,t
temperate,showing self-control,t
tenacity,firmness persistency adhesiveness tending to hang on,t
tenuous,insubstantial flimsy weak,t
tepid,lukewarm,t
terse,brief and to the point,t
testiness,witness/evidence,t
thrift,care economy thriving prosperous,t
thwart,obstruct/frustrate,t
timid,shy easily frightened,t
timorous,fearful timid afraid,t
toady,obsequious flatterer,t
tonic,smth giving strength or energy,t
topple,be unsteady and overturn,t
torment,severe pain or suffering,t
torpid,sleeping sluggish lethargic dormant,t
torque,twisting force causing rotation,t
tortuous,devious/not straightforward,t
tout,person who worries others to buy smth to use his service,t
tractable,easily controlled or guided,t
transgress,break go beyond (a limit),t
transient,temporary fleeting,t
transitory,brief,t
travesty,parody/imitation,t
trenchant,forceful effective vigorous extremely perceptive incisive,t
trepidation,alarm excited state of mind,t
trickle,flow in drops,t
trifling,unimportant,t
trite,not new,t
truce,(agreement) stop of fighting for a time,t
truculence,aggressiveness ferocity,t
trudge,walk heavily,t
turbid,muddy having the sediment stirred up,t
turbulence,being uncontrolled violent,t
turgid,excessively ornate swollen or bloated,t
turmoil,trouble disturbance,t
turpitude,wickedness shamefulness,t
turquoise,greenish-blue precious stone,t
tyro,tiro beginner,t
ubiquitous,present everywhere,u
ulterior,situated beyond,u
umbrage,offense resentment,u
uncouth,rough awkward,u
underbid,make a lower bid then smb else,u
undermine,weaken gradually at the base make smth under,u
undulate,to move in wavelike fashion fluctuate,u
unearth,discover and bring to light,u
unencumbered,easy-going trifle,u
unfeigned,not pretended sincere,u
unscathed,unharmed unhurt,u
untoward,unfortunate inconvenient,u
upbraid,scold reproach,u
urbane,elegant refined in manners,u
vacillation,being uncertain hesitating,v
vagary,strange act or idea,v
vain,without use result conceited,v
valiant,brave,v
valorous,brave,v
vanquish,conquer,v
veer,change direction,v
venal,ready to do smth dishonest,v
veneer,surface appearance covering the TRUE nature,v
veneration,regard with deep respect,v
veracity,truth,v
verdant,fresh and green,v
verisimilitude,appearing TRUE or real,v
veritable,real rightly named,v
verve,spirit vigor enthusiasm,v
vestige,trace or sign,v
vex,annoy distress trouble,v
vigilance,watchfulness self-appointed group who maintain order,v
vigilant,member of a vigilance committee,v
vigorous,strong energetic,v
vilify,slander say evil things,v
vindictive,having a desire to revenge,v
virago,a loud domineering woman a scold or nag,v
visceral,of the internal organs of the body,v
viscous,sticky/semi-fluid,v
vitiate,lower the quality weaken the strength,v
vituperate,curse abuse in words,v
vivacious,lively high-spirited,v
volatile,changeable inconstant fickle unstable explosive,v
volubility,fluency verbosity easy use of spoken language,v
voluble,fluent,v
waffle,talk vaguely and without much result,w
waft,scent waving movement carry lightly through,w
wag,merry person,w
warmonger,person who stirs up war,w
warrant,authority written order guarantee,w
wean,to turn away (from a habit),w
weigh,measure hoe heavy smth is,w
welter,turmoil a bewildering jumble,w
wend,to go proceed,w
whimsical,full of odd and fanciful ideas,w
wince,show bodily or mental pain,w
woo,try to win,w
writ,written order,w
yarn,tale story fibers for knitting,y
